time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-07-09T21:41:44.240Z,23.7392,122.5375,9.06,4.2,mb,,108,0.844,0.86,us,us200031af,2015-10-09T20:19:10.040Z,"93km SSW of Yonakuni, Japan",earthquake,2.2,4.9,0.235,5,reviewed,us,us
2015-07-06T01:34:41.910Z,23.793,122.493,13.86,4.4,mb,,105,0.821,0.85,us,us20002zt9,2015-09-30T00:20:58.040Z,"90km SW of Yonakuni, Japan",earthquake,3.1,4.2,0.12,20,reviewed,us,us
2015-06-21T06:15:31.640Z,23.9655,122.4315,29.19,4.8,mb,,99,0.727,0.84,us,us10002kn2,2015-09-01T00:53:52.040Z,"80km SW of Yonakuni, Japan",earthquake,6.1,4.6,0.053,111,reviewed,us,us
2015-06-17T13:07:18.710Z,24.8761,122.2456,116.33,4.6,mb,,102,0.686,0.84,us,us10002muj,2015-08-20T00:44:01.040Z,"50km NE of Su'ao, Taiwan",earthquake,4,7.4,0.183,9,reviewed,us,us
2015-06-16T16:21:10.550Z,23.484,121.7412,24.86,4.3,mb,,68,0.417,0.87,us,us20002z00,2015-08-20T00:44:00.040Z,"56km SSE of Hualian, Taiwan",earthquake,4.4,7.2,0.188,8,reviewed,us,us
2015-06-16T15:16:07.670Z,23.4413,121.7569,24.54,4.5,mb,,101,0.425,0.8,us,us20002qca,2015-08-20T00:44:00.040Z,"61km SSE of Hualian, Taiwan",earthquake,2.9,5.2,0.069,62,reviewed,us,us
2015-05-28T07:57:44.200Z,23.9849,122.4303,30.56,4.4,mwr,,103,0.715,1.11,us,us20002jyl,2015-08-08T00:48:47.040Z,"78km SW of Yonakuni, Japan",earthquake,2.7,5.3,0.063,24,reviewed,us,us
2015-05-26T13:53:01.770Z,22.1092,121.1763,10,4.2,mb,,151,0.71,0.96,us,us10002mu0,2015-07-29T01:35:45.040Z,"46km ENE of Hengchun, Taiwan",earthquake,5,2,0.264,4,reviewed,us,us
2015-05-26T00:56:55.150Z,24.0333,122.5301,19.3,4.9,mb,,99,0.616,0.82,us,us10002c3p,2015-07-29T01:35:44.040Z,"67km SW of Yonakuni, Japan",earthquake,6.1,4,0.051,121,reviewed,us,us
2015-05-25T21:22:49.960Z,22.8914,120.8848,4.21,4.7,mb,,50,0.194,1.05,us,us10002c2l,2015-07-29T01:35:44.040Z,"30km WNW of Taitung City, Taiwan",earthquake,5.1,3.1,0.06,84,reviewed,us,us
2015-05-14T18:35:49.200Z,24.58,120.46,5,4.1,mb,,,,1.12,us,us1000296l,2015-07-23T01:03:59.040Z,"36km W of Miaoli, Taiwan",earthquake,5,5.6,0.213,6,reviewed,tap,us
