time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-20T12:36:53.447Z,38.2012,-117.7453,11.7,5,ml,20,49.32,0.128,0.1674,nn,nn00729332,2020-05-21T02:19:04.803Z,"46km WNW of Tonopah, Nevada",earthquake,,1.3,0.1,4,reviewed,nn,nn
2020-05-20T11:45:27.798Z,32.7191,141.1326,42.49,4.6,mb,,134,1.177,0.87,us,us70009lkd,2020-05-20T12:15:12.040Z,"131km ESE of Hachijo-jima, Japan",earthquake,7.5,5.3,0.072,57,reviewed,us,us
2020-05-20T11:22:37.490Z,38.223,-117.7772,4.8,2.9,ml,30,72.14,0.163,0.19,nn,nn00729288,2020-05-20T11:38:18.040Z,"54km WNW of Tonopah, Nevada",earthquake,,17.8,,,automatic,nn,nn
2020-05-20T11:12:15.371Z,34.0616,25.5593,10,4.2,mb,,64,1.342,0.7,us,us70009ljp,2020-05-20T11:28:52.040Z,"106km S of Ierapetra, Greece",earthquake,5.1,1.9,0.096,30,reviewed,us,us
2020-05-20T10:42:09.944Z,-26.06,-66.6844,31.99,5,mww,,47,2.323,1.16,us,us70009liw,2020-05-20T11:00:11.040Z,"70km W of Cafayate, Argentina",earthquake,6.2,4.6,0.08,15,reviewed,us,us
2020-05-20T10:41:31.892Z,38.1791,-117.8352,5.4,3.4,ml,25,64.21,0.106,0.2166,nn,nn00729376,2020-05-21T02:19:18.549Z,"54km WNW of Tonopah, Nevada",earthquake,,1,0.18,8,reviewed,nn,nn
2020-05-20T10:41:31.646Z,38.1822,-117.8424,7.52,3.1,ml,,64,0.101,0.57,us,us70009liu,2020-05-20T18:44:13.727Z,"55km WNW of Tonopah, Nevada",earthquake,0.8,3,0.041,78,reviewed,us,us
2020-05-20T10:36:24.480Z,38.1295,-118.0575,7.6,2.6,ml,37,58.82,0.08,0.09,nn,nn00729254,2020-05-20T12:01:31.040Z,"64km SE of Hawthorne, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-05-20T10:31:38.330Z,18.0458,-66.807,13,2.6,md,13,101,0.101,0.15,pr,pr2020141006,2020-05-20T10:55:08.444Z,"3km NNW of Guayanilla, Puerto Rico",earthquake,0.36,0.5,0.19,9,reviewed,pr,pr
2020-05-20T10:00:26.800Z,38.1268,-118.0672,6.4,2.7,ml,26,56.73,0.092,0.13,nn,nn00729231,2020-05-20T10:19:40.040Z,"65km SE of Hawthorne, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-05-20T09:47:49.570Z,38.1336,-118.0806,5.7,3.1,ml,19,95.52,0.096,0.1514,nn,nn00729220,2020-05-21T02:12:12.647Z,"64km SE of Hawthorne, Nevada",earthquake,,2.4,0.05,2,reviewed,nn,nn
2020-05-20T09:46:16.713Z,38.1351,-118.0676,7.1,4.1,ml,28,43.62,0.085,0.1304,nn,nn00729215,2020-05-21T02:17:24.395Z,"64km SE of Hawthorne, Nevada",earthquake,,0.8,0.25,9,reviewed,nn,nn
2020-05-20T09:45:46.555Z,38.1257,-118.0724,4.2,3.6,ml,15,131.26,0.09,0.0777,nn,nn00729217,2020-05-21T02:16:53.876Z,"65km SE of Hawthorne, Nevada",earthquake,,2.4,1.19,3,reviewed,nn,nn
2020-05-20T09:42:28.681Z,47.6829,155.8408,10,4.4,mb,,170,5.56,0.57,us,us70009lhh,2020-05-20T10:10:36.040Z,"East of the Kuril Islands",earthquake,10.7,2,0.075,51,reviewed,us,us
2020-05-20T09:07:31.960Z,38.1448,-117.853,10.9,2.8,ml,21,72.94,0.534,0.27,nn,nn00729187,2020-05-20T09:24:32.040Z,"55km WNW of Tonopah, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-05-20T08:56:45.210Z,17.9666,-66.9308,10,2.68,md,18,185,0.0523,0.17,pr,pr2020141003,2020-05-20T10:02:28.428Z,"2km WSW of Guanica, Puerto Rico",earthquake,0.44,0.48,0.42,11,reviewed,pr,pr
2020-05-20T07:49:55.555Z,14.2249,-91.2505,71.02,4,mb,,171,0.523,1.25,us,us70009lfm,2020-05-20T16:49:06.267Z,"6km ENE of Nueva Concepcion, Guatemala",earthquake,5.9,14.3,0.092,32,reviewed,us,us
2020-05-20T07:45:21.998Z,38.1449,-117.9922,5.2,3.1,ml,26,53.97,0.027,0.1593,nn,nn00729141,2020-05-21T05:53:02.040Z,"65km W of Tonopah, Nevada",earthquake,,0.7,0.3,9,reviewed,nn,nn
2020-05-20T07:29:21.080Z,44.3476667,-115.1793333,6.83,3.52,ml,27,83,0.943,0.29,mb,mb80425099,2020-05-20T19:59:58.438Z,"71km ESE of Cascade, Idaho",earthquake,0.57,1.35,0.25,29,reviewed,mb,mb
2020-05-20T07:02:08.290Z,-20.5358,-69.1746,101.95,4.1,mb,,58,0.393,0.56,us,us70009lf8,2020-05-20T20:56:45.722Z,"106km ESE of Iquique, Chile",earthquake,5.2,7.7,0.301,3,reviewed,us,us
2020-05-20T06:44:28.030Z,38.1397,-118.0653,6.2,2.7,ml,32,58.61,0.087,0.11,nn,nn00729098,2020-05-20T06:47:49.589Z,"64km SE of Hawthorne, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-05-20T06:35:49.610Z,38.1548,-117.9475,1.6,2.6,ml,30,56.4,0.026,0.11,nn,nn00729093,2020-05-20T13:07:36.040Z,"61km W of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-20T06:29:00.120Z,38.1827,-117.7505,6,2.6,ml,26,70.56,0.126,0.09,nn,nn00729088,2020-05-20T06:36:49.094Z,"47km WNW of Tonopah, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-05-20T06:21:37.550Z,38.1645,-117.9885,5.8,2.6,ml,30,115.53,0.041,0.16,nn,nn00729080,2020-05-20T12:34:43.040Z,"66km W of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-20T06:11:40.402Z,38.1403,-117.8793,7.4,3.1,ml,24,46.25,0.063,0.1634,nn,nn00729077,2020-05-21T02:11:59.954Z,"53km W of Tonopah, Nevada",earthquake,,1.3,0.28,8,reviewed,nn,nn
2020-05-20T05:59:07.460Z,11.4859,-86.7298,48.5,4.6,mb,,149,0.769,1.28,us,us70009le2,2020-05-20T08:21:34.040Z,"40km SW of Masachapa, Nicaragua",earthquake,6.1,9.1,0.036,235,reviewed,us,us
2020-05-20T05:31:50.060Z,44.292,-115.2393,10.21,2.5,ml,,66,0.942,1.04,us,us70009ldt,2020-05-20T14:45:50.170Z,"68km ESE of Cascade, Idaho",earthquake,2.5,10.1,0.069,28,reviewed,us,us
2020-05-20T05:25:39.914Z,38.159,-117.9627,8.1,3.3,ml,27,56.06,0.02,0.2248,nn,nn00729041,2020-05-21T02:15:16.990Z,"58km WNW of Tonopah, Nevada",earthquake,,0.9,0.32,14,reviewed,nn,nn
2020-05-20T05:25:02.170Z,38.1795,-117.927,12,2.6,ml,12,128.27,0.049,0.07,nn,nn00729040,2020-05-20T12:11:18.040Z,"67km W of Tonopah, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-05-20T05:08:32.990Z,38.143,-117.8672,8.9,2.6,ml,25,48.82,0.07,0.18,nn,nn00729032,2020-05-20T06:56:55.040Z,"54km W of Tonopah, Nevada",earthquake,,1.3,,,automatic,nn,nn
